Log:

	PID		PPID		Nome do Programa
	18795		18074		create-zombies
	18796		18074		create-zombies
	18797		18074		create-zombies
	18798		18074		create-zombies
	18799		18074		create-zombies
	18800		18074		create-zombies
	18801		18074		create-zombies
	18802		18074		create-zombies
	18803		18074		create-zombies
	18804		18074		create-zombies
	18805		18074		create-zombies
	18806		18074		create-zombies
	18807		18074		create-zombies
	18808		18074		create-zombies
	18809		18074		create-zombies
	18810		18074		create-zombies
	18811		18074		create-zombies
	18812		18074		create-zombies
	18813		18074		create-zombies
	18814		18074		create-zombies
	18815		18074		create-zombies
	18816		18074		create-zombies
	18817		18074		create-zombies
	18818		18074		create-zombies
	18819		18074		create-zombies
	18820		18074		create-zombies
	18821		18074		create-zombies
	18822		18074		create-zombies
	18823		18074		create-zombies
	18824		18074		create-zombies
	18825		18074		create-zombies
	18826		18074		create-zombies
	18827		18074		create-zombies
	18828		18074		create-zombies
	18829		18074		create-zombies
	18830		18074		create-zombies
	18831		18074		create-zombies
	18832		18074		create-zombies
	18833		18074		create-zombies
	18834		18074		create-zombies
	18835		18074		create-zombies
	18836		18074		create-zombies
	18837		18074		create-zombies
	18838		18074		create-zombies
	18839		18074		create-zombies
	18840		18074		create-zombies
	18841		18074		create-zombies
	18842		18074		create-zombies
	18843		18074		create-zombies
	18844		18074		create-zombies
	18845		18074		create-zombies
	18846		18074		create-zombies
	18847		18074		create-zombies
	18848		18074		create-zombies
	18849		18074		create-zombies
	18850		18074		create-zombies
	18851		18074		create-zombies
	18852		18074		create-zombies
	18853		18074		create-zombies
	18854		18074		create-zombies
	18855		18074		create-zombies
	18856		18074		create-zombies
	18857		18074		create-zombies
	18858		18074		create-zombies
	18859		18074		create-zombies
	18860		18074		create-zombies
	18861		18074		create-zombies
	18862		18074		create-zombies
	18863		18074		create-zombies
	18864		18074		create-zombies
	18865		18074		create-zombies
	18866		18074		create-zombies
	18867		18074		create-zombies
	18868		18074		create-zombies
	18869		18074		create-zombies
	18870		18074		create-zombies
	18871		18074		create-zombies
	18872		18074		create-zombies
	18873		18074		create-zombies
	18874		18074		create-zombies
	18875		18074		create-zombies
	18876		18074		create-zombies
	18877		18074		create-zombies
	18878		18074		create-zombies
	18879		18074		create-zombies
	18880		18074		create-zombies
	18881		18074		create-zombies
	18882		18074		create-zombies
	18883		18074		create-zombies
	18884		18074		create-zombies
	18885		18074		create-zombies
	18886		18074		create-zombies
	18887		18074		create-zombies
	18888		18074		create-zombies
	18889		18074		create-zombies
	18890		18074		create-zombies
	18891		18074		create-zombies
	18892		18074		create-zombies
	18893		18074		create-zombies
	18894		18074		create-zombies
	18895		18074		create-zombies
	18896		18074		create-zombies
	18897		18074		create-zombies
	18898		18074		create-zombies
	18899		18074		create-zombies
	18900		18074		create-zombies
	18901		18074		create-zombies
	18902		18074		create-zombies
	18903		18074		create-zombies
	18904		18074		create-zombies
	18905		18074		create-zombies
	18906		18074		create-zombies
	18907		18074		create-zombies
	18908		18074		create-zombies
	18909		18074		create-zombies
	18910		18074		create-zombies
	18911		18074		create-zombies
	18912		18074		create-zombies
	18913		18074		create-zombies
	18914		18074		create-zombies
	18915		18074		create-zombies
	18916		18074		create-zombies
	18917		18074		create-zombies
	18918		18074		create-zombies
	18919		18074		create-zombies
	18920		18074		create-zombies
	18921		18074		create-zombies
	18922		18074		create-zombies
	18923		18074		create-zombies
	18924		18074		create-zombies
	18925		18074		create-zombies
	18926		18074		create-zombies
	18927		18074		create-zombies
	18928		18074		create-zombies
	18929		18074		create-zombies
	18930		18074		create-zombies
	18931		18074		create-zombies
	18932		18074		create-zombies
	18933		18074		create-zombies
	18934		18074		create-zombies
	18935		18074		create-zombies
	18936		18074		create-zombies
	18937		18074		create-zombies
	18938		18074		create-zombies
	18939		18074		create-zombies
	18940		18074		create-zombies
	18941		18074		create-zombies
	18942		18074		create-zombies
	18943		18074		create-zombies
	18944		18074		create-zombies
	18945		18074		create-zombies
	18946		18074		create-zombies
	18947		18074		create-zombies
	18948		18074		create-zombies
	18949		18074		create-zombies
	18950		18074		create-zombies
	18951		18074		create-zombies
	18952		18074		create-zombies
	18953		18074		create-zombies
	18954		18074		create-zombies
	18955		18074		create-zombies
	18956		18074		create-zombies
	18957		18074		create-zombies
	18958		18074		create-zombies
	18959		18074		create-zombies
	18960		18074		create-zombies
	18961		18074		create-zombies
	18962		18074		create-zombies
	18963		18074		create-zombies
	18964		18074		create-zombies
	18965		18074		create-zombies
	18966		18074		create-zombies
	18967		18074		create-zombies
	18968		18074		create-zombies
	18969		18074		create-zombies
	18970		18074		create-zombies
	18971		18074		create-zombies
	18972		18074		create-zombies
	18973		18074		create-zombies
	18974		18074		create-zombies
	18975		18074		create-zombies
	18976		18074		create-zombies
	18977		18074		create-zombies
	18978		18074		create-zombies
	18979		18074		create-zombies
	18980		18074		create-zombies
	18981		18074		create-zombies
	18982		18074		create-zombies
